XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
540475.313,4439186.92,255,343,172,288.991616
540475.313,4439186.92,255,389,195,251.684692
579449.173,4439195.7,257,247,129,46.028161
579449.173,4439195.7,257,265,133,9.025982
579449.173,4439195.7,257,307,155,106.584116
571813.192,4439196.56,260,200,130,132.898336
571813.192,4439196.56,260,279,140,170.583908
571813.192,4439196.56,260,282,141,45.005242
572455.835,4439198.12,262,251,131,121.473781
572455.835,4439198.12,262,264,132,86.012299
572455.835,4439198.12,262,328,164,121.204277
572455.835,4439198.12,262,441,221,405.424726
572532.646,4439161.89,264,262,132,86.012299
579454.209,4439203.19,265,257,133,9.025982
579454.209,4439203.19,265,221,134,177.185084
579454.209,4439203.19,265,305,153,59.731735
579778.856,4439160.2,269,270,135,71.326158
579721.97,4439203.22,270,269,135,71.326158
579721.97,4439203.22,270,317,160,314.818431
579721.97,4439203.22,270,359,181,230.064442
579113.902,4439203.29,271,229,136,107.673128
579113.902,4439203.29,271,241,137,131.837037
579113.902,4439203.29,271,347,175,178.668696
579113.902,4439203.29,271,385,194,306.413501
578516.889,4439206.08,275,237,138,112.504568
578516.889,4439206.08,275,184,139,189.849445
578516.889,4439206.08,275,301,151,84.262568
578516.889,4439206.08,275,312,156,93.992696
571644.645,4439207.62,279,260,140,170.583908
571644.645,4439207.62,279,314,157,58.589787
571644.645,4439207.62,279,399,200,1005.14506
571856.641,4439208.29,282,260,141,45.005242
538369.548,4439209.16,283,202,142,1469.07707
538369.548,4439209.16,283,66,143,1970.03406
538369.548,4439209.16,283,254,146,866.921024
538369.548,4439209.16,283,1339,670,1292.98097
541836.544,4439229.94,288,102,144,795.716195
541836.544,4439229.94,288,326,163,91.964243
541836.544,4439229.94,288,352,176,107.392583
578206.001,4439230.17,289,243,145,127.547045
578206.001,4439230.17,289,321,161,94.331793
578206.001,4439230.17,289,411,206,345.03693
578318.006,4439239.26,293,211,147,234.632397
578318.006,4439239.26,293,321,162,57.90383
578318.006,4439239.26,293,395,198,262.879351
578933.251,4439245.37,295,177,148,316.136938
578933.251,4439245.37,295,229,149,150.821163
578933.251,4439245.37,295,347,174,94.410418
541053.83,4439245.53,299,71,150,809.499174
541053.83,4439245.53,299,449,226,406.340688
578589.678,4439248.35,301,275,151,84.262568
578589.678,4439248.35,301,191,152,203.248767
578589.678,4439248.35,301,340,170,69.678381
579487.275,4439252.93,305,265,153,59.731735
579487.275,4439252.93,305,317,159,36.42091
579487.275,4439252.93,305,524,263,852.100342
579363.097,4439258.51,307,241,154,180.640596
579363.097,4439258.51,307,257,155,106.584116
579363.097,4439258.51,307,315,165,84.682884
578441.883,4439262.69,312,275,156,93.992696
578441.883,4439262.69,312,332,166,47.137831
578441.883,4439262.69,312,336,169,66.256295
571659.624,4439264.26,314,279,157,58.589787
579306.502,4439274.02,315,316,158,107.911242
579306.502,4439274.02,315,307,165,84.682884
579306.502,4439274.02,315,334,167,61.755661
579214.816,4439237.65,316,315,158,107.911242
579505.872,4439284.21,317,305,159,36.42091
579505.872,4439284.21,317,270,160,314.818431
579505.872,4439284.21,317,359,180,68.287226
578282.667,4439285.13,321,289,161,94.331793
578282.667,4439285.13,321,293,162,57.90383
578282.667,4439285.13,321,395,205,326.881775
578282.667,4439285.13,321,411,207,278.602166
541905.848,4439290.37,326,288,163,91.964243
541905.848,4439290.37,326,352,177,83.389186
541905.848,4439290.37,326,368,184,104.016621
572534.228,4439290.56,328,262,164,121.204277
572534.228,4439290.56,328,376,188,106.116486
572534.228,4439290.56,328,437,219,306.533537
578469.794,4439300.39,332,312,166,47.137831
578469.794,4439300.39,332,342,171,29.26803
578469.794,4439300.39,332,346,173,39.144514
579252.604,4439300.65,334,315,167,61.755661
578036.83,4439018.13,335,336,168,455.101191
578036.83,4439018.13,335,1228193,614097,20.229756
578388.623,4439302.1,336,335,168,455.101191
578388.623,4439302.1,336,312,169,66.256295
578388.623,4439302.1,336,356,178,36.114539
578555.885,4439309.27,340,301,170,69.678381
578555.885,4439309.27,340,372,186,97.517752
578555.885,4439309.27,340,378,190,98.327656
578493.229,4439317.62,342,332,171,29.26803
578493.229,4439317.62,342,358,179,38.370777
578493.229,4439317.62,342,366,183,44.802059
540729.944,4439323.59,343,255,172,288.991616
540729.944,4439323.59,343,389,202,436.004191
540729.944,4439323.59,343,449,225,588.378469
578439.111,4439324.6,346,332,173,39.144514
578984.511,4439324.61,347,295,174,94.410418
578984.511,4439324.61,347,271,175,178.668696
578984.511,4439324.61,347,385,193,124.985803
578984.511,4439324.61,347,427,215,332.403073
541831.655,4439328.26,352,288,176,107.392583
541831.655,4439328.26,352,326,177,83.389186
541831.655,4439328.26,352,381,192,175.636064
578412.656,4439329.06,356,336,178,36.114539
578412.656,4439329.06,356,378,189,118.815655
578412.656,4439329.06,356,392,196,133.128714
578528.563,4439329.97,358,342,179,38.370777
579539.689,4439343.51,359,317,180,68.287226
579539.689,4439343.51,359,270,181,230.064442
579539.689,4439343.51,359,369,185,26.724951
539121.161,4439355.63,364,254,182,234.945317
578473.888,4439357.82,366,342,183,44.802059
541982.665,4439360.51,368,326,184,104.016621
541982.665,4439360.51,368,534,267,624.896072
541982.665,4439360.51,368,807,405,869.876896
579552.314,4439367.06,369,359,185,26.724951
