XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
442420.7368,4373543.509,256,216,128,154.8233999
442420.7368,4373543.509,256,258,129,318.2360229
442420.7368,4373543.509,256,296,148,389.7951341
442420.7368,4373543.509,256,364,183,1208.963565
442738.9718,4373544.301,258,256,129,318.2360229
442738.9718,4373544.301,258,211,130,155.2127233
442738.9718,4373544.301,258,262,131,235.1498489
442738.9718,4373544.301,258,293,147,345.9440292
442974.1209,4373544.907,262,258,131,235.1498489
442974.1209,4373544.907,262,207,132,156.1143102
442974.1209,4373544.907,262,266,133,233.8942625
442974.1209,4373544.907,262,291,146,315.5805821
443208.0144,4373545.496,266,262,133,233.8942625
443208.0144,4373545.496,266,205,134,156.9943821
443208.0144,4373545.496,266,240,135,211.4292033
439577.8498,4373564.254,273,163,137,560.9207263
439577.8498,4373564.254,273,252,138,538.3508103
439577.8498,4373564.254,273,277,140,445.4061475
439577.8498,4373564.254,273,314,158,452.0465573
439133.2641,4373590.711,277,167,139,570.850113
439133.2641,4373590.711,277,273,140,445.4061475
439133.2641,4373590.711,277,286,145,197.852052
439133.2641,4373590.711,277,305,153,375.5872448
438812.3213,4373595.716,281,203,141,267.9155148
438812.3213,4373595.716,281,283,142,126.8344937
438812.3213,4373595.716,281,286,143,123.1720875
438812.3213,4373595.716,281,301,151,375.4399588
438685.4873,4373596.076,283,281,142,126.8344937
438685.4873,4373596.076,283,383,193,1222.345805
438935.4918,4373596.331,286,281,143,123.1720875
438935.4918,4373596.331,286,202,144,286.0134294
438935.4918,4373596.331,286,277,145,197.852052
438935.4918,4373596.331,286,298,150,360.7938254
442974.666,4373860.487,291,262,146,315.5805821
442740.1465,4373890.243,293,258,147,345.9440292
442475.7213,4373929.406,296,256,148,389.7951341
438886.9182,4373676.016,297,298,149,277.004985
438886.9182,4373676.016,297,236,101801,192.5009842
438887.2481,4373953.021,298,297,149,277.004985
438887.2481,4373953.021,298,286,150,360.7938254
438887.2481,4373953.021,298,390,195,502.9802583
438870.1821,4373965.953,301,281,151,375.4399588
438870.1821,4373965.953,301,304,152,289.7868185
438870.1821,4373965.953,301,387,194,488.582823
438866.6988,4373676.187,304,301,152,289.7868185
438866.6988,4373676.187,304,237,101802,192.127733
439140.283,4373966.233,305,277,153,375.5872448
439140.283,4373966.233,305,314,157,450.2960248
439140.283,4373966.233,305,393,197,530.9604593
441474.0722,4374014.762,308,220,154,570.656832
441474.0722,4374014.762,308,310,156,10.38875597
441474.0722,4374014.762,308,364,182,355.3536819
441463.775,4374016.139,310,224,155,571.4189564
441463.775,4374016.139,310,308,156,10.38875597
441463.775,4374016.139,310,317,160,8.57089032
441463.775,4374016.139,310,368,184,359.175363
439587.7991,4374016.191,314,305,157,450.2960248
439587.7991,4374016.191,314,273,158,452.0465573
439587.7991,4374016.191,314,338,169,542.6232959
439587.7991,4374016.191,314,409,206,509.3924265
441455.2048,4374016.248,317,227,159,570.9441121
441455.2048,4374016.248,317,310,160,8.57089032
441455.2048,4374016.248,317,321,162,11.97995651
441455.2048,4374016.248,317,379,190,363.2285282
441443.2327,4374016.683,321,231,161,570.7212424
441443.2327,4374016.683,321,317,162,11.97995651
441443.2327,4374016.683,321,325,164,226.0960801
441443.2327,4374016.683,321,429,215,548.4981535
441217.2284,4374023.124,325,326,163,254.7657315
441217.2284,4374023.124,325,321,164,226.0960801
441217.2284,4374023.124,325,330,166,479.2686764
441217.2284,4374023.124,325,343,172,185.319049
441195.8711,4373769.255,326,325,163,254.7657315
440738.1552,4374036.81,330,244,165,542.4683272
440738.1552,4374036.81,330,325,166,479.2686764
440738.1552,4374036.81,330,333,168,13.77470743
440738.1552,4374036.81,330,346,173,174.0321767
440724.3861,4374037.204,333,247,167,542.0441561
440724.3861,4374037.204,333,330,168,13.77470743
440724.3861,4374037.204,333,338,171,595.5451854
440724.3861,4374037.204,333,347,174,174.2215853
440129.0853,4374054.261,338,314,169,542.6232959
440129.0853,4374054.261,338,252,170,523.3024399
440129.0853,4374054.261,338,333,171,595.5451854
440129.0853,4374054.261,338,362,181,289.6871662
441230.8907,4374207.938,343,325,172,185.319049
441230.8907,4374207.938,343,346,176,489.2658238
441230.8907,4374207.938,343,395,198,294.9099048
440744.533,4374210.725,346,330,173,174.0321767
440744.533,4374210.725,346,347,175,13.3840619
440744.533,4374210.725,346,343,176,489.2658238
440744.533,4374210.725,346,376,189,161.2299749
440731.161,4374211.294,347,333,174,174.2215853
440731.161,4374211.294,347,346,175,13.3840619
440731.161,4374211.294,347,372,187,159.6198906
435832.4217,4374216.304,353,354,177,406.3063626
435832.4217,4374216.304,353,383,192,2196.423707
435832.4217,4374216.304,353,434,217,348.6316058
435426.1451,4374221.225,354,353,177,406.3063626
435426.1451,4374221.225,354,356,178,55.08908361
435426.1451,4374221.225,354,408,204,302.655921
435371.0656,4374222.251,356,354,178,55.08908361
435371.0656,4374222.251,356,358,179,135.8685797
435371.0656,4374222.251,356,406,203,298.9951882
435235.2082,4374223.997,358,356,179,135.8685797
392691.9517,4374265.652,359,360,180,61.0695393
392719.7903,4374319.87,360,359,180,61.0695393
440136.5691,4374343.851,362,338,181,289.6871662
440136.5691,4374343.851,362,372,186,601.4029413
440136.5691,4374343.851,362,435,219,223.429038
441540.0079,4374363.945,364,308,182,355.3536819
441540.0079,4374363.945,364,256,183,1208.963565
441540.0079,4374363.945,364,368,185,10.88446876
441540.0079,4374363.945,364,421,212,192.7535781
441530.4101,4374369.079,368,310,184,359.175363
441530.4101,4374369.079,368,364,185,10.88446876
441530.4101,4374369.079,368,379,191,8.565006366
441530.4101,4374369.079,368,420,210,187.4419298
440737.3683,4374370.793,372,362,186,601.4029413
440737.3683,4374370.793,372,347,187,159.6198906
440737.3683,4374370.793,372,376,188,13.10852287
440737.3683,4374370.793,372,451,227,251.0507957
440750.4343,4374371.847,376,372,188,13.10852287
440750.4343,4374371.847,376,346,189,161.2299749
440750.4343,4374371.847,376,455,229,251.2198642
441522.8586,4374373.12,379,317,190,363.2285282
441522.8586,4374373.12,379,368,191,8.565006366
441522.8586,4374373.12,379,425,213,183.7802788
438018.4339,4374422.7,383,353,192,2196.423707
438018.4339,4374422.7,383,283,193,1222.345805
438018.4339,4374422.7,383,393,200,1141.719292
438018.4339,4374422.7,383,739,371,3325.182655
438874.3758,4374454.517,387,301,194,488.582823
438874.3758,4374454.517,387,500,101803,96.20303196
438892.8609,4374455.97,390,298,195,502.9802583
438892.8609,4374455.97,390,497,101804,96.59170797
441344.4389,4374409.277,391,392,196,78.91594725
441353.4402,4374487.678,392,391,196,78.91594725
441353.4402,4374487.678,392,395,199,98.91471886
441353.4402,4374487.678,392,440,220,103.5485493
439153.7404,4374497.023,393,305,197,530.9604593
439153.7404,4374497.023,393,383,200,1141.719292
439153.7404,4374497.023,393,409,205,442.3662582
441255.5412,4374501.816,395,343,198,294.9099048
441255.5412,4374501.816,395,392,199,98.91471886
441255.5412,4374501.816,395,401,202,73.17606527
441255.5412,4374501.816,395,443,222,107.2345486
441183.0836,4374512.045,401,402,201,77.02513944
441183.0836,4374512.045,401,395,202,73.17606527
441183.0836,4374512.045,401,413,207,146.4114765
441183.0836,4374512.045,401,447,224,107.1242286
441174.7649,4374435.47,402,401,201,77.02513944
435339.7404,4374518.78,406,356,203,298.9951882
435423.3474,4374523.698,408,354,204,302.655921
439595.1872,4374525.53,409,393,205,442.3662582
439595.1872,4374525.53,409,314,206,509.3924265
439595.1872,4374525.53,409,435,218,548.7431913
439595.1872,4374525.53,409,463,232,115.1966607
441037.5452,4374527.381,413,401,207,146.4114765
441037.5452,4374527.381,413,416,209,85.2028371
441037.5452,4374527.381,413,460,230,112.6083519
440936.7556,4374361.988,415,416,208,174.9185191
440952.7927,4374536.129,416,415,208,174.9185191
440952.7927,4374536.129,416,413,209,85.2028371
440952.7927,4374536.129,416,467,235,115.7693998
441557.6681,4374554.48,420,368,210,187.4419298
441557.6681,4374554.48,420,421,211,10.89165327
441557.6681,4374554.48,420,425,214,7.380980968
441557.6681,4374554.48,420,508,255,503.6800968
441568.5597,4374554.508,421,420,211,10.89165327
441568.5597,4374554.508,421,364,212,192.7535781
441568.5597,4374554.508,421,512,257,504.3383088
441550.2952,4374554.824,425,379,213,183.7802788
441550.2952,4374554.824,425,420,214,7.380980968
441550.2952,4374554.824,425,429,216,11.04825772
441550.2952,4374554.824,425,504,253,502.8818218
441539.3824,4374556.549,429,321,215,548.4981535
441539.3824,4374556.549,429,425,216,11.04825772
441539.3824,4374556.549,429,440,221,176.0957768
441539.3824,4374556.549,429,473,237,203.8934423
435835.9394,4374564.918,434,353,217,348.6316058
440142.3455,4374567.206,435,409,218,548.7431913
440142.3455,4374567.206,435,362,219,223.429038
440142.3455,4374567.206,435,451,226,581.9560955
441366.597,4374590.387,440,392,220,103.5485493
441366.597,4374590.387,440,429,221,176.0957768
441366.597,4374590.387,440,443,223,104.312693
441366.597,4374590.387,440,476,238,176.7568335
441263.9087,4374608.724,443,395,222,107.2345486
441263.9087,4374608.724,443,440,223,104.312693
441263.9087,4374608.724,443,447,225,68.96960891
441263.9087,4374608.724,443,479,240,162.5198973
441195.6258,4374618.432,447,401,224,107.1242286
441195.6258,4374618.432,447,443,225,68.96960891
441195.6258,4374618.432,447,460,231,150.0888744
440721.7765,4374621.359,451,435,226,581.9560955
440721.7765,4374621.359,451,372,227,251.0507957
440721.7765,4374621.359,451,455,228,13.08104887
440734.8005,4374622.58,455,451,228,13.08104887
440734.8005,4374622.58,455,376,229,251.2198642
440734.8005,4374622.58,455,465,233,123.0765151
441047.0303,4374639.552,460,413,230,112.6083519
441047.0303,4374639.552,460,447,231,150.0888744
441047.0303,4374639.552,460,467,236,89.12191889
441047.0303,4374639.552,460,484,242,159.9757202
439597.0834,4374640.711,463,409,232,115.1966607
440854.0611,4374651.502,465,455,233,123.0765151
440854.0611,4374651.502,465,467,234,104.6857148
440854.0611,4374651.502,465,528,264,511.2145128
440958.7465,4374651.746,467,465,234,104.6857148
440958.7465,4374651.746,467,416,235,115.7693998
440958.7465,4374651.746,467,460,236,89.12191889
440958.7465,4374651.746,467,488,244,159.4301693
441540.6552,4374760.315,473,429,237,203.8934423
441540.6552,4374760.315,473,476,239,160.0033615
441540.6552,4374760.315,473,501,251,296.8104376
441380.7743,4374766.574,476,440,238,176.7568335
